PlayerID, PlayerName, TotalOnCourtTime, TotalPlusMinus, AveragePlusMinus ,Unweighted_PlusMinus,Weighted_PlusMinus,Ridge_Plus_Min
585,Diana Taurasi,63251.7,-48,-1.82,0.254060005,0.194122349,0.016224156337660427
869,DeWanna Bonner,76600.7,198,6.2,0.346327326,0.383702549,0.07144583560911119
887,Sami Whitcomb,36256.4,98,6.49,0.359306403,0.304556906,0.004480584741457212
918,Tina Charles,68786.4,-58,-2.02,0.379513841,-0.080351751,0.04892278480514251
924,Alysha Clark,58204.8,176,7.26,0.32425883,0.538837333,0.04132769109399694
981,Courtney Vandersloot,42274.8,148,8.4,0.235824852,-0.045872558,0.02931595019670437
1004,Sydney Colson,15413.0,55,8.56,0.497941751,0.378337047,0.0438414127625439
1054,Tiffany Hayes,42475.5,135,7.63,0.187937826,0.27329168,0.011602672323313632
1068,Nneka Ogwumike,71693.0,214,7.16,0.355103068,0.292826496,0.10135903073229824
2284331,Emma Cannon,554.1,5,21.66,1.310582796,2.199165542,0.004854323767323768
2490553,Brittney Griner,51917.7,-16,-0.74,0.151531458,-0.415087837,0.018062712529755217
2490794,Layshia Clarendon,19849.2,-68,-8.22,0.363741985,0.581521005,-0.0017982544915578155
2491205,Skylar Diggins-Smith,75132.5,232,7.41,0.795119619,1.08077794,0.0920084689437316
2491214,Erica Wheeler,32740.2,-51,-3.74,0.183609957,-0.060799422,-0.03438291945274973
2529047,Odyssey Sims,41986.9,-135,-7.72,0.337786674,0.783635195,0.020338054860247656
2529122,Chelsea Gray,42455.7,148,8.37,0.431975474,0.313998324,0.06895437100831694
2529130,Natasha Howard,49196.5,-181,-8.83,0.004841914,-0.090281331,-0.028279281509338568
2529137,Natasha Cloud,75304.5,-223,-7.11,0.253105023,0.572710701,0.0034214417612812966
2529140,Alyssa Thomas,78269.4,172,5.27,0.076598315,0.007947157,0.03708077547121125
2529183,Stefanie Dolson,60083.8,-83,-3.32,-0.112912515,-0.414191777,-0.023234900105308924
2529205,Kayla McBride,75952.7,339,10.71,0.193167542,0.126775543,0.08723779217801417
2529458,Cheyenne Parker-Tyus,29509.2,-111,-9.03,-0.113815103,-0.357174684,-0.03594175052499498
2529622,Kayla Thornton,50273.1,81,3.87,0.009842683,-0.040278123,0.0141244446101751
2566081,Elizabeth Williams,14939.9,12,1.93,0.356727375,0.432843219,0.03218197066968963
2566106,Dearica Hamby,80726.0,-386,-11.48,-0.00755555,-0.291010847,-0.05955432742151243
2566110,Julie Vanloo,55344.5,-79,-3.43,0.279308397,0.42633989,-0.02080537582568661
2566186,Rachel Banham,35148.5,-77,-5.26,0.055380282,-0.087012393,-0.020587643610301756
2566453,Isabelle Harrison,35192.2,-209,-14.25,0.066759264,-0.114868011,-0.10003638934783461
2569044,Temi Fagbenle,24596.8,-6,-0.59,0.19365982,0.635444683,0.003443373685496375
2590093,Kiah Stokes,42721.2,55,3.09,0.011620404,0.084309006,0.032773400842638654
2593770,Betnijah Laney-Hamilton,52887.2,275,12.48,0.45672619,0.700086304,0.12173814604966476
2955898,Damiris Dantas,12582.0,0,0.0,0.306262294,0.755067312,0.012712086541059887
2984741,Tiffany Mitchell,23216.0,116,11.99,0.256730799,0.572309343,0.0754925635240962
2987869,Jewell Loyd,75313.6,191,6.09,0.368149264,0.290160001,0.04511259847047594
2987891,Courtney Williams,64867.6,255,9.43,0.281366817,0.219248364,0.07406651256310376
2988756,Brittney Sykes,24943.0,6,0.58,0.59063079,1.101175543,0.02176131289095024
2998927,Moriah Jefferson,11059.8,-51,-11.07,-0.06741964,-0.08066987,-0.05259054792584082
2998928,Breanna Stewart,78764.0,332,10.12,0.071933106,0.108371104,0.07110072053055241
2998938,Kahleah Copper,71896.6,-208,-6.94,0.210657929,0.261226048,-0.0453231152638715
2999035,Aerial Powers,18220.4,-64,-8.43,0.103339061,0.110240826,-0.025844253114206957
2999101,Jonquel Jones,72870.3,364,11.99,0.451892511,0.611394107,0.11147043061657547
3054590,Nia Coffey,31921.9,-144,-10.83,-0.197163215,-0.278621237,-0.0683313023105339
3056672,Mercedes Russell,34711.7,-38,-2.63,-0.124039119,0.163885998,-0.04042497038858491
3056730,Karlie Samuelson,42691.1,-12,-0.67,0.221026168,0.173747847,0.02297263020772863
3058892,Lexie Brown,22719.8,-43,-4.54,0.338487973,0.41531584,0.03786000794509037
3058893,Shatori Walker-Kimbrough,52345.5,-25,-1.15,0.272958095,0.253567919,-0.0016923836037424232
3058895,Brionna Jones,65105.8,257,9.47,0.735987281,0.369096079,0.08176781839997622
3058901,Allisha Gray,80223.2,-144,-4.31,0.291743697,0.414644072,0.02509284188447163
3058902,Diamond DeShields,26433.0,-123,-11.17,-0.037482381,-0.158916196,-0.06926608961929266
3058908,Lindsay Allen,57017.0,-71,-2.99,0.167287475,0.250494957,0.0538341791721711
3065570,Kelsey Plum,78015.4,179,5.51,0.564853046,0.63476239,0.06575510700517594
3099025,Astou Ndour-Fall,5541.4,-73,-31.62,-0.914647308,-1.437554973,-0.03990427445456453
3099736,Stephanie Talbot,35710.3,-66,-4.44,0.334760498,-0.070652803,-0.013844891684649682
3102133,Rebecca Allen,26539.4,-29,-2.62,0.267138402,0.615495273,0.006593376254486597
3142010,Azura Stevens,29598.8,-145,-11.76,-0.029818725,-0.57764416,-0.06024491822470969
3142055,Myisha Hines-Allen,44496.8,-68,-3.67,-0.086017665,-0.094933428,-0.06589385216133577
3142086,Brianna Turner,15159.4,-101,-15.99,-0.082634844,-0.278036109,-0.06255987757904105
